quadkey,latitude,longitude,rwi,error
13223011003230,10.8656756,105.6994629,-0.181,0.400
13221322200010,11.8565990,106.9299316,-0.034,0.370
13223010312232,10.1527460,105.1721191,0.789,0.413
13221211113003,16.4360849,106.7321777,-0.300,0.452
13221300011312,16.5203656,107.5451660,0.686,0.423
13221233123321,11.8996033,106.4685059,-0.490,0.412
13223011021021,10.7793483,105.6774902,-0.476,0.378
13221011123003,21.4223895,106.3806152,-0.631,0.417
13203233312021,22.3805551,106.5563965,0.379,0.385
13221322103331,12.2433913,107.9187012,-0.836,0.384
13223011210311,10.3905714,105.9851074,0.638,0.422
13223011023200,10.5634219,105.6555176,0.021,0.397
13221013201301,19.8803914,105.7653809,0.921,0.428
13221302300112,14.5729506,107.7209473,-0.380,0.408
13223100010112,11.1460662,107.3693848,-0.154,0.390
13223012130113,9.4165483,105.2819824,0.360,0.409
13221011223301,20.7047384,105.7653809,0.534,0.425
13223013030302,9.3298312,105.9191895,-0.535,0.392
13221011030203,21.5041851,105.8532715,0.398,0.385
13221013021213,20.1900348,105.7214355,0.319,0.404
13223011331011,10.1311167,106.7761230,0.136,0.412
13221322332020,11.2969342,107.9406738,-0.330,0.414
13221011331312,20.8485448,106.8420410,0.262,0.416
13223010301202,10.3689583,104.9523926,0.255,0.414
13221301200031,15.9085080,108.3581543,1.216,0.460
13221010232301,20.7047384,104.5349121,0.168,0.415
13221010120212,21.5041851,104.8205566,-0.566,0.395
13221013010100,20.6225019,105.9191895,0.324,0.404
13221011131133,21.5450657,106.8640137,-0.427,0.372
13221302132012,14.7430107,107.9846191,-0.421,0.383
13221233232301,11.2538371,105.9411621,0.074,0.405
13221011221201,20.8690774,105.6774902,0.296,0.416
13223010131001,10.8225151,105.3259277,0.691,0.407
13203233133020,22.7052551,106.7102051,-0.046,0.388
13221301200022,15.8873757,108.2922363,1.389,0.438
13221321303302,12.9510290,109.2590332,-0.279,0.430
13221001311011,21.2791370,103.9636230,0.430,0.437
13221013201131,19.9217124,105.8093262,0.968,0.420
13221013001113,20.6019358,105.8093262,0.896,0.419
13221320121302,13.4644216,107.8527832,-0.645,0.396
13221031212311,18.3858046,105.9851074,0.311,0.414
13221303000121,15.2311894,108.4020996,-0.670,0.356
13221321300212,13.1222796,109.0393066,-0.506,0.391
13221320301330,13.1008797,107.8967285,-0.604,0.406
13221010310231,21.1562380,105.1940918,0.226,0.400
13223011130212,10.7145865,106.5783691,0.645,0.439
13221321002330,13.6139558,108.4240723,0.498,0.408
13223011231120,10.0878536,106.0949707,0.389,0.395
13221303322302,13.9767151,109.0832520,0.516,0.419
13223012121123,9.3731925,105.0622559,-0.825,0.426
13223011133210,10.5634219,106.7541504,0.257,0.409
13223011123101,10.6498109,106.4685059,1.023,0.412
13221013020223,20.1487843,105.5017090,0.275,0.393
13221010102002,21.7492955,104.7766113,-0.056,0.435
13221320321110,12.8867796,107.8967285,-0.229,0.383
13221233313102,11.6629959,106.7980957,-0.591,0.395
13221011230222,20.8074712,105.8312988,0.438,0.431
13221323000131,12.5009395,108.4460449,-0.642,0.386
13223001331303,10.0229482,104.0075684,1.024,0.437
13223013031031,9.3948711,106.0729980,-0.256,0.408
13221013100120,20.5813670,106.2707520,0.446,0.422
13221010131230,21.4837405,105.3479004,-0.235,0.406
13203233210133,22.5227053,105.9851074,-0.036,0.351
13203223211033,22.5227053,103.2604980,-0.522,0.374
13221011203001,21.1152490,105.6774902,0.623,0.453
13221031323033,18.0727566,106.4245605,0.437,0.426
13221321231320,12.7582314,108.9074707,-0.369,0.384
13223011230101,10.1311167,105.9411621,0.086,0.417
13221031320221,18.1771685,106.2048340,0.282,0.389
13221122230233,16.8150577,107.3034668,0.376,0.430
13221320332320,12.5867322,108.0285645,0.607,0.411
13221122222011,16.7940233,106.9519043,0.000,0.397
13221012232332,19.3215109,104.5568848,-0.315,0.410
13203223321031,22.2179198,103.6120605,-0.390,0.385
13223013021020,9.3948711,105.6555176,0.205,0.415
13221010233112,20.7663865,104.7326660,-0.415,0.387
13221031320203,18.1980434,106.2048340,0.137,0.410
13221013221020,19.5908438,105.6555176,1.056,0.407
13221323011002,12.5223904,108.8195801,0.312,0.370
13221010103320,21.6472167,105.0402832,0.287,0.394
13221011012000,21.7697025,105.8312988,0.128,0.409
13221031023223,18.6566542,105.6774902,1.477,0.480
13221320321233,12.7368003,107.8308105,-0.044,0.403
13221322323331,11.2107336,107.9187012,-0.073,0.394
13203223221202,22.1568828,102.8430176,-0.550,0.378
13221300102333,16.3095952,107.7429199,-0.046,0.424
13221233133221,11.8996033,106.7321777,-0.092,0.403
